year,country,right_votes,right_populist_votes,left_votes,left_populist_votes,populist_votes,other_votes,c2_left_votes,c2_right_votes,c2_populist_votes,farright_parties,farleft_parties,populist_parties,country_code,pop,total_population,weight
1999,Slovenia,0,12.84,0,9.03,0,73.49000000000002,NA,NA,21.869999999999997,NA,NA,NA,SVN,1983045,499391700,0.003970921022515993
2000,Slovenia,0,13.05,0,12.08,15.81,55.31,12.08,13.05,40.940000000000005,"SNS 4.39%
NSI 8.66%",ZL-SD 12.08%,"SDS 15.81%
ZL-SD 12.08%
SNS 4.39%
NSI 8.66%",SVN,1988925,500188098,0.003976354111488675
2001,Slovenia,0,13.05,0,12.08,15.81,55.31,NA,NA,40.940000000000005,NA,NA,NA,SVN,1992060,501057553,0.003975710949915568
2002,Slovenia,0,13.05,0,12.08,15.81,55.31,NA,NA,40.940000000000005,NA,NA,NA,SVN,1994530,502405026,0.003969964265445067
2003,Slovenia,0,13.05,0,12.08,15.81,55.31,NA,NA,40.940000000000005,NA,NA,NA,SVN,1995733,504353870,0.00395700939104522
2004,Slovenia,0,15.36,0,10.17,31.7,39.71,10.17,15.36,57.230000000000004,"SNS 6.27%
NSI 9.09%",ZL-SD 10.17%,"SDS 29.08%
ZL-SD 10.17%
SNS 6.27%
NSI 9.09%
SO 2.62%",SVN,1997012,506454762,0.003943120195205115
2005,Slovenia,0,15.36,0,10.17,31.7,39.71,NA,NA,57.230000000000004,NA,NA,NA,SVN,2000474,508547485,0.003933701491022023
2006,Slovenia,0,15.36,0,10.17,31.7,39.71,NA,NA,57.230000000000004,NA,NA,NA,SVN,2006868,510559016,0.003930726785951029
2007,Slovenia,0,15.36,0,10.17,31.7,39.71,NA,NA,57.230000000000004,NA,NA,NA,SVN,2018122,512690302,0.003936337379754065
2008,Slovenia,0,8.8,0,30.45,29.26,29.049999999999997,30.45,8.8,68.51,"SNS 5.4%
NSI 3.4%",ZL-SD 30.45%,"SDS 29.26%
ZL-SD 30.45%
SNS 5.4%
NSI 3.4%",SVN,2021316,514811015,0.00392632624614685
2009,Slovenia,0,8.8,0,30.45,29.26,29.049999999999997,NA,NA,68.51,NA,NA,NA,SVN,2039669,516555899,0.00394859298664209
2010,Slovenia,0,8.8,0,30.45,29.26,29.049999999999997,NA,NA,68.51,NA,NA,NA,SVN,2048583,517886877,0.00395565728922689
2011,Slovenia,0,6.68,0,10.52,26.19,53.38,10.52,6.68,43.39,"SNS 1.8%
NSI 4.88%",ZL-SD 10.52%,"SDS 26.19%
ZL-SD 10.52%
SNS 1.8%
NSI 4.88%",SVN,2052843,517857388,0.003964108744162592
2012,Slovenia,0,6.68,0,10.52,26.19,53.38,NA,NA,43.39,NA,NA,NA,SVN,2057159,519116989,0.003962804230242598
2013,Slovenia,0,6.68,0,10.52,26.19,53.38,NA,NA,43.39,NA,NA,NA,SVN,2059953,520057474,0.003961010278644702
2014,Slovenia,0,7.79,0,5.98,20.71,63.28000000000001,5.98,7.79,34.480000000000004,"SNS 2.2%
NSI 5.59%",ZL-SD 5.98%,"SDS 20.71%
ZL-SD 5.98%
SNS 2.2%
NSI 5.59%",SVN,2061980,521194086,0.003956261314906785
2015,Slovenia,0,7.79,0,5.98,20.71,63.28000000000001,NA,NA,34.480000000000004,NA,NA,NA,SVN,2063531,522683036,0.003947958624775418
2016,Slovenia,0,7.79,0,5.98,20.71,63.28000000000001,NA,NA,34.480000000000004,NA,NA,NA,SVN,2065042,524226948,0.003939213746791208
2017,Slovenia,0,7.79,0,5.98,20.71,63.28000000000001,NA,NA,34.480000000000004,NA,NA,NA,SVN,2066388,525359268,0.003933285516912209
2018,Slovenia,0,36.25,0,19.259999999999998,12.6,27.169999999999998,19.259999999999998,36.25,68.11,"SDS 24.92%
SNS 4.17%
NSI 7.16%","ZL-SD 9.93%
L 9.33%","SDS 24.92%
ZL-SD 9.93%
SNS 4.17%
NSI 7.16%
LMS 12.6%
L 9.33%",SVN,2073894,526797856,0.003936792787554549
2019,Slovenia,0,36.25,0,19.259999999999998,12.6,27.169999999999998,NA,NA,68.11,NA,NA,NA,SVN,2088385,527825192,0.003956584550439571
2020,Slovenia,0,36.25,0,19.259999999999998,12.6,27.169999999999998,NA,NA,68.11,NA,NA,NA,SVN,2102419,527999064,0.003981861225420658
2021,Slovenia,0,36.25,0,19.259999999999998,12.6,27.169999999999998,NA,NA,68.11,NA,NA,NA,SVN,2108079,527696744,0.003994868310197495
2022,Slovenia,0,31.83,0,11.15,0,55.3,11.15,31.83,42.98,"SDS 23.48%
SNS 1.49%
NSI 6.86%","ZL-SD 6.69%
L 4.46%","SDS 23.48%
ZL-SD 6.69%
SNS 1.49%
NSI 6.86%
L 4.46%",SVN,2112076,529422891,0.0039893930464748265
2023,Slovenia,0,31.83,0,11.15,0,55.3,NA,NA,42.98,NA,NA,NA,SVN,2120461,532183631,0.003984453629315029
2024,Slovenia,0,31.83,0,11.15,0,55.3,NA,NA,42.98,NA,NA,NA,SVN,2127400,534418555,0.0039807749564384045
2025,Slovenia,0,31.83,0,11.15,0,55.3,NA,NA,42.98,NA,NA,NA,SVN,2127400,534418555,0.0039807749564384045
2026,Slovenia,0,39.379999999999995,0,5.6899999999999995,0,0,5.6899999999999995,39.379999999999995,45.06999999999999,"SDS 27.88%
SNS 2.24%
NSI 9.26%",L 5.69%,"SDS 27.88%
SNS 2.24%
NSI 9.26%
L 5.69%",SVN,2127400,534418555,0.0039807749564384045
1993,Spain,0,0,10.510000000000002,0,0,85.48000000000002,10.510000000000002,0,0,none,"PCE|IU 9.63%
HB 0.88%",none,ESP,39361262,493577339,0.07974689859090148
1994,Spain,0,0,10.510000000000002,0,0,85.48000000000002,NA,NA,0,NA,NA,NA,ESP,39549108,494866526,0.0799187375223678
1995,Spain,0,0,10.510000000000002,0,0,85.48000000000002,NA,NA,0,NA,NA,NA,ESP,39724050,495896419,0.080105539136793
1996,Spain,0,0,12.260000000000002,0,0,86.05,12.260000000000002,0,0,none,"PCE|IU 10.64%
BNG 0.89%
HB 0.73%",none,ESP,39889852,496794186,0.08029452260940913
1997,Spain,0,0,12.260000000000002,0,0,86.05,NA,NA,0,NA,NA,NA,ESP,40057389,497629796,0.08049636360600883
1998,Spain,0,0,12.260000000000002,0,0,86.05,NA,NA,0,NA,NA,NA,ESP,40223509,498422758,0.0807015898740322
1999,Spain,0,0,12.260000000000002,0,0,86.05,NA,NA,0,NA,NA,NA,ESP,40386875,499391700,0.08087213904436137
2000,Spain,0,0,6.88,0,0,90.19999999999999,6.88,0,0,none,"PCE|IU 5.54%
BNG 1.34%",none,ESP,40567864,500188098,0.08110521654195778
2001,Spain,0,0,6.88,0,0,90.19999999999999,NA,NA,0,NA,NA,NA,ESP,40850412,501057553,0.08152838282830954
2002,Spain,0,0,6.88,0,0,90.19999999999999,NA,NA,0,NA,NA,NA,ESP,41431558,502405026,0.08246644809640101
2003,Spain,0,0,6.88,0,0,90.19999999999999,NA,NA,0,NA,NA,NA,ESP,42187645,504353870,0.08364691441745059
2004,Spain,0,0,5.86,0,0,91.63000000000002,5.86,0,0,none,"PCE|IU 5.04%
BNG 0.82%",none,ESP,42921895,506454762,0.08474971156456418
2005,Spain,0,0,5.86,0,0,91.63000000000002,NA,NA,0,NA,NA,NA,ESP,43653155,508547485,0.08583889663715474
2006,Spain,0,0,5.86,0,0,91.63000000000002,NA,NA,0,NA,NA,NA,ESP,44397319,510559016,0.08695825087535032
2007,Spain,0,0,5.86,0,0,91.63000000000002,NA,NA,0,NA,NA,NA,ESP,45226803,512690302,0.08821466453250758
2008,Spain,0,0,4.65,0,0,92.30000000000001,4.65,0,0,none,"PCE|IU 3.81%
BNG 0.84%",none,ESP,45954106,514811015,0.08926403021893384
2009,Spain,0,0,4.65,0,0,92.30000000000001,NA,NA,0,NA,NA,NA,ESP,46362946,516555899,0.08975397646170333
2010,Spain,0,0,4.65,0,0,92.30000000000001,NA,NA,0,NA,NA,NA,ESP,46576897,517886877,0.08993643026795599
2011,Spain,0,0,7.789999999999999,0,0,85.53999999999999,7.789999999999999,0,0,none,"PCE|IU 7.02%
BNG 0.77%",none,ESP,46742697,517857388,0.09026171699610859
2012,Spain,0,0,7.789999999999999,0,0,85.53999999999999,NA,NA,0,NA,NA,NA,ESP,46773055,519116989,0.09010118333846323
2013,Spain,0,0,7.789999999999999,0,0,85.53999999999999,NA,NA,0,NA,NA,NA,ESP,46604197,520057474,0.0896135510591662
2014,Spain,0,0,7.789999999999999,0,0,85.53999999999999,NA,NA,0,NA,NA,NA,ESP,46460733,521194086,0.08914286299096648
2015,Spain,0,0,4.54,12.67,0,79.69000000000001,17.21,0,12.67,none,"PCE|IU 3.67%
P 12.67%
EHB 0.87%",P 12.67%,ESP,46422303,522683036,0.08881540016156178
2016,Spain,0,0,0.77,13.37,0,83.83,14.139999999999999,0,13.37,none,"P 13.37%
EHB 0.77%",P 13.37%,ESP,46458139,524226948,0.08862218773232543
2017,Spain,0,0,0.77,13.37,0,83.83,NA,NA,13.37,NA,NA,NA,ESP,46571232,525359268,0.08864644603547757
2018,Spain,0,0,0.77,13.37,0,83.83,NA,NA,13.37,NA,NA,NA,ESP,46782011,526797856,0.08880448253001243
2019,Spain,0,15.08,2.66,9.82,0,70.42999999999999,12.48,15.08,24.9,Vox 15.08%,"BNG 0.5%
P 9.82%
EHB 1.14%
CUP 1.02%","P 9.82%
Vox 15.08%",ESP,47118501,527825192,0.08926914007545135
2020,Spain,0,15.08,2.66,9.82,0,70.42999999999999,NA,NA,24.9,NA,NA,NA,ESP,47359424,527999064,0.08969603779449124
2021,Spain,0,15.08,2.66,9.82,0,70.42999999999999,NA,NA,24.9,NA,NA,NA,ESP,47443821,527696744,0.08990735974675637
2022,Spain,0,15.08,2.66,9.82,0,70.42999999999999,NA,NA,24.9,NA,NA,NA,ESP,47786102,529422891,0.09026074016130897
2023,Spain,0,12.4839642111658,6.014514626878083,0,0,1.9217259936063502,6.014514626878083,12.4839642111658,12.4839642111658,Vox 12.4839642111658%,"PCE|IU 2.00563598547717%
BNG 0.628874082008006%
P 1.60450878838173%
EHB 1.36857652670061%
CUP 0.406919244310567%",Vox 12.4839642111658%,ESP,48352528,532183631,0.09085684937197927
2024,Spain,0,12.4839642111658,6.014514626878083,0,0,1.9217259936063502,NA,NA,12.4839642111658,NA,NA,NA,ESP,48848840,534418555,0.09140558377506185
2025,Spain,0,12.4839642111658,6.014514626878083,0,0,1.9217259936063502,NA,NA,12.4839642111658,NA,NA,NA,ESP,48848840,534418555,0.09140558377506185
2026,Spain,0,12.4839642111658,6.014514626878083,0,0,1.9217259936063502,NA,NA,12.4839642111658,NA,NA,NA,ESP,48848840,534418555,0.09140558377506185
1993,Sweden,0,0,4.5,0,6.7,87.70000000000002,NA,NA,6.7,NA,NA,NA,SWE,8718561,493577339,0.01766402205106098
1994,Sweden,0,0,6.2,0,1.2,91.7,6.2,0,1.2,none,V 6.2%,NyD 1.2%,SWE,8780745,494866526,0.017743663268103126
1995,Sweden,0,0,6.2,0,1.2,91.7,NA,NA,1.2,NA,NA,NA,SWE,8826939,495896419,0.017799965197974135
1996,Sweden,0,0,6.2,0,1.2,91.7,NA,NA,1.2,NA,NA,NA,SWE,8840998,496794186,0.01779609795997089
1997,Sweden,0,0,6.2,0,1.2,91.7,NA,NA,1.2,NA,NA,NA,SWE,8846062,497629796,0.017776391347756035
1998,Sweden,0,0,11.99,0,0,86.36,11.99,0,0,none,V 11.99%,none,SWE,8850974,498422758,0.017757965217150055
1999,Sweden,0,0,11.99,0,0,86.36,NA,NA,0,NA,NA,NA,SWE,8857874,499391700,0.01773732723231083
2000,Sweden,0,0,11.99,0,0,86.36,NA,NA,0,NA,NA,NA,SWE,8872109,500188098,0.017737545206443515
2001,Sweden,0,0,11.99,0,0,86.36,NA,NA,0,NA,NA,NA,SWE,8895960,501057553,0.01775436763049853
2002,Sweden,0,1.44,8.4,0,0,88.49999999999999,8.4,1.44,1.44,SD 1.44%,V 8.4%,SD 1.44%,SWE,8924958,502405026,0.017764467985238667
2003,Sweden,0,1.44,8.4,0,0,88.49999999999999,NA,NA,1.44,NA,NA,NA,SWE,8958229,504353870,0.017761792925272885
2004,Sweden,0,1.44,8.4,0,0,88.49999999999999,NA,NA,1.44,NA,NA,NA,SWE,8993531,506454762,0.01775781703480162
2005,Sweden,0,1.44,8.4,0,0,88.49999999999999,NA,NA,1.44,NA,NA,NA,SWE,9029572,508547485,0.017755612339720842
2006,Sweden,0,2.9,5.8,0,0,88.50000000000001,5.8,2.9,2.9,SD 2.9%,V 5.8%,SD 2.9%,SWE,9080505,510559016,0.01778541699477108
2007,Sweden,0,2.9,5.8,0,0,88.50000000000001,NA,NA,2.9,NA,NA,NA,SWE,9148092,512690302,0.017843310014473417
2008,Sweden,0,2.9,5.8,0,0,88.50000000000001,NA,NA,2.9,NA,NA,NA,SWE,9219637,514811015,0.01790877959361456
2009,Sweden,0,2.9,5.8,0,0,88.50000000000001,NA,NA,2.9,NA,NA,NA,SWE,9298515,516555899,0.01800098502020979
2010,Sweden,0,5.7,5.6,0,0,87.93,5.6,5.7,5.7,SD 5.7%,V 5.6%,SD 5.7%,SWE,9378126,517886877,0.0181084449452076
2011,Sweden,0,5.7,5.6,0,0,87.93,NA,NA,5.7,NA,NA,NA,SWE,9449213,517857388,0.018246747500298286
2012,Sweden,0,5.7,5.6,0,0,87.93,NA,NA,5.7,NA,NA,NA,SWE,9519374,519116989,0.018337627551619197
2013,Sweden,0,5.7,5.6,0,0,87.93,NA,NA,5.7,NA,NA,NA,SWE,9600379,520057474,0.018460226955607603
2014,Sweden,0,12.86,5.72,0,0,80.45,5.72,12.86,12.86,SD 12.86%,V 5.72%,SD 12.86%,SWE,9696110,521194086,0.018603645475747013
2015,Sweden,0,12.86,5.72,0,0,80.45,NA,NA,12.86,NA,NA,NA,SWE,9799186,522683036,0.01874785544025194
2016,Sweden,0,12.86,5.72,0,0,80.45,NA,NA,12.86,NA,NA,NA,SWE,9923085,524226948,0.018928986840256828
2017,Sweden,0,12.86,5.72,0,0,80.45,NA,NA,12.86,NA,NA,NA,SWE,10057698,525359268,0.01914441909112756
2018,Sweden,0,17.53,8,0,0,72.92999999999999,8,17.53,17.53,SD 17.53%,V 8%,SD 17.53%,SWE,10175214,526797856,0.019315215284399334
2019,Sweden,0,17.53,8,0,0,72.92999999999999,NA,NA,17.53,NA,NA,NA,SWE,10278887,527825192,0.019474036396504545
2020,Sweden,0,17.53,8,0,0,72.92999999999999,NA,NA,17.53,NA,NA,NA,SWE,10353442,527999064,0.01960882642776806
2021,Sweden,0,17.53,8,0,0,72.92999999999999,NA,NA,17.53,NA,NA,NA,SWE,10415811,527696744,0.019738251407516737
2022,Sweden,0,20.54,6.75,0,0,71.60999999999999,6.75,20.54,20.54,SD 20.54%,V 6.75%,SD 20.54%,SWE,10486941,529422891,0.019808250036547816
2023,Sweden,0,20.54,6.75,0,0,71.60999999999999,NA,NA,20.54,NA,NA,NA,SWE,10536632,532183631,0.019798865252960027
2024,Sweden,0,20.54,6.75,0,0,71.60999999999999,NA,NA,20.54,NA,NA,NA,SWE,10569709,534418555,0.01977796036666429
2025,Sweden,0,20.54,6.75,0,0,71.60999999999999,NA,NA,20.54,NA,NA,NA,SWE,10569709,534418555,0.01977796036666429
2026,Sweden,0,20.54,6.75,0,0,71.60999999999999,NA,NA,20.54,NA,NA,NA,SWE,10569709,534418555,0.01977796036666429
1993,Switzerland,1,16.7,0.8,0,0,78.9,NA,NA,16.7,NA,NA,NA,CHE,6938265,493577339,0.014057097949547476
1994,Switzerland,1,16.7,0.8,0,0,78.9,NA,NA,16.7,NA,NA,NA,CHE,6993795,494866526,0.01413268958911155
1995,Switzerland,1.3,18.9,1.5,0,0,75.89999999999999,1.5,20.2,18.9,"NA|SD 3.1%
SVP-UDC 14.9%
EDU-UDF 1.3%
LdT 0.9%","PdA 1.2%
S 0.3%","NA|SD 3.1%
SVP-UDC 14.9%
LdT 0.9%",CHE,7040687,495896419,0.014197898452660535
1996,Switzerland,1.3,18.9,1.5,0,0,75.89999999999999,NA,NA,18.9,NA,NA,NA,CHE,7071850,496794186,0.014234969327922046
1997,Switzerland,1.3,18.9,1.5,0,0,75.89999999999999,NA,NA,18.9,NA,NA,NA,CHE,7088906,497629796,0.014245340727145688
1998,Switzerland,1.3,18.9,1.5,0,0,75.89999999999999,NA,NA,18.9,NA,NA,NA,CHE,7110001,498422758,0.014265000716520251
1999,Switzerland,1.3,25.2,1.5,0,0,69.64999999999999,1.5,26.5,25.2,"NA|SD 1.8%
SVP-UDC 22.5%
EDU-UDF 1.3%
LdT 0.9%","PdA 1%
S 0.5%","NA|SD 1.8%
SVP-UDC 22.5%
LdT 0.9%",CHE,7143991,499391700,0.01430538593252551
2000,Switzerland,1.3,25.2,1.5,0,0,69.64999999999999,NA,NA,25.2,NA,NA,NA,CHE,7184250,500188098,0.014363096660488711
2001,Switzerland,1.3,25.2,1.5,0,0,69.64999999999999,NA,NA,25.2,NA,NA,NA,CHE,7229854,501057553,0.014429188736328659
2002,Switzerland,1.3,25.2,1.5,0,0,69.64999999999999,NA,NA,25.2,NA,NA,NA,CHE,7284753,502405026,0.014499761393708668
2003,Switzerland,1.3,28.099999999999998,1.2,0,0,68.00000000000001,1.2,29.4,28.099999999999998,"NA|SD 1%
SVP-UDC 26.7%
EDU-UDF 1.3%
LdT 0.4%","PdA 0.7%
S 0.5%","NA|SD 1%
SVP-UDC 26.7%
LdT 0.4%",CHE,7339001,504353870,0.014551293122822672
2004,Switzerland,1.3,28.099999999999998,1.2,0,0,68.00000000000001,NA,NA,28.099999999999998,NA,NA,NA,CHE,7389625,506454762,0.01459088857377552
2005,Switzerland,1.3,28.099999999999998,1.2,0,0,68.00000000000001,NA,NA,28.099999999999998,NA,NA,NA,CHE,7437115,508547485,0.014624229239871278
2006,Switzerland,1.3,28.099999999999998,1.2,0,0,68.00000000000001,NA,NA,28.099999999999998,NA,NA,NA,CHE,7483934,510559016,0.014658313271271269
2007,Switzerland,1.3,30,0.7,0,0,65.5,0.7,31.3,30,"NA|SD 0.5%
SVP-UDC 28.9%
EDU-UDF 1.3%
LdT 0.6%",PdA 0.7%,"NA|SD 0.5%
SVP-UDC 28.9%
LdT 0.6%",CHE,7551117,512690302,0.014728417858779782
2008,Switzerland,1.3,30,0.7,0,0,65.5,NA,NA,30,NA,NA,NA,CHE,7647675,514811015,0.014855305689214905
2009,Switzerland,1.3,30,0.7,0,0,65.5,NA,NA,30,NA,NA,NA,CHE,7743831,516555899,0.01499127396471761
2010,Switzerland,1.3,30,0.7,0,0,65.5,NA,NA,30,NA,NA,NA,CHE,7824909,517886877,0.015109301562781247
2011,Switzerland,1.27,27.8,0,0,0,67.35000000000001,0,29.07,27.8,"SVP-UDC 26.56%
EDU-UDF 1.27%
LdT 0.8%
MCR 0.44%",none,"SVP-UDC 26.56%
LdT 0.8%
MCR 0.44%",CHE,7912398,517857388,0.015279106146497615
2012,Switzerland,1.27,27.8,0,0,0,67.35000000000001,NA,NA,27.8,NA,NA,NA,CHE,7996861,519116989,0.015404737601450374
2013,Switzerland,1.27,27.8,0,0,0,67.35000000000001,NA,NA,27.8,NA,NA,NA,CHE,8089346,520057474,0.015554715400552055
2014,Switzerland,1.27,27.8,0,0,0,67.35000000000001,NA,NA,27.8,NA,NA,NA,CHE,8188649,521194086,0.015711323708304702
2015,Switzerland,1.19,30.71,0.86,0,0,64.78,0.86,31.900000000000002,30.71,"SVP-UDC 29.39%
EDU-UDF 1.19%
LdT 1%
MCR 0.32%",PdA 0.86%,"SVP-UDC 29.39%
LdT 1%
MCR 0.32%",CHE,8282396,522683036,0.015845924641793806
2016,Switzerland,1.19,30.71,0.86,0,0,64.78,NA,NA,30.71,NA,NA,NA,CHE,8373338,524226948,0.015972734770590236
2017,Switzerland,1.19,30.71,0.86,0,0,64.78,NA,NA,30.71,NA,NA,NA,CHE,8451840,525359268,0.01608773369921781
2018,Switzerland,1.19,30.71,0.86,0,0,64.78,NA,NA,30.71,NA,NA,NA,CHE,8514329,526797856,0.016162421511449736
2019,Switzerland,1,26.689999999999998,1.05,0,0,69.42999999999999,1.05,27.689999999999998,26.689999999999998,"NA|SD 0.13%
SVP-UDC 25.59%
EDU-UDF 1%
LdT 0.75%
MCR 0.22%","PdA 1.05%
S NA%","NA|SD 0.13%
SVP-UDC 25.59%
LdT 0.75%
MCR 0.22%",CHE,8575280,527825192,0.016246439408295617
2020,Switzerland,1,26.689999999999998,1.05,0,0,69.42999999999999,NA,NA,26.689999999999998,NA,NA,NA,CHE,8638167,527999064,0.016360193774888964
2021,Switzerland,1,26.689999999999998,1.05,0,0,69.42999999999999,NA,NA,26.689999999999998,NA,NA,NA,CHE,8704546,527696744,0.016495356658861628
2022,Switzerland,1,26.689999999999998,1.05,0,0,69.42999999999999,NA,NA,26.689999999999998,NA,NA,NA,CHE,8777088,529422891,0.01657859557870912
2023,Switzerland,1.23363562553974,29.073604746480893,0.721672730518359,0,0,3.0124307002359,0.721672730518359,30.307240372020633,29.073604746480893,"NA|SD 0.079468166148753%
SVP-UDC 27.930163532176%
EDU-UDF 1.23363562553974%
LdT 0.554319819047462%
MCR 0.50965322910868%",PdA 0.721672730518359%,"NA|SD 0.079468166148753%
SVP-UDC 27.930163532176%
LdT 0.554319819047462%
MCR 0.50965322910868%",CHE,8888822,532183631,0.01670254679441653
2024,Switzerland,1.23363562553974,29.073604746480893,0.721672730518359,0,0,3.0124307002359,NA,NA,29.073604746480893,NA,NA,NA,CHE,9005582,534418555,0.016851177631734736
2025,Switzerland,1.23363562553974,29.073604746480893,0.721672730518359,0,0,3.0124307002359,NA,NA,29.073604746480893,NA,NA,NA,CHE,9005582,534418555,0.016851177631734736
2026,Switzerland,1.23363562553974,29.073604746480893,0.721672730518359,0,0,3.0124307002359,NA,NA,29.073604746480893,NA,NA,NA,CHE,9005582,534418555,0.016851177631734736
1993,United_Kingdom,0,0,0,0,0.3,98.89999999999999,NA,NA,0.3,NA,NA,NA,GBR,57718614,493577339,0.11693935162610859
1994,United_Kingdom,0,0,0,0,0.3,98.89999999999999,NA,NA,0.3,NA,NA,NA,GBR,57865745,494866526,0.11693202502041934
1995,United_Kingdom,0,0,0,0,0.3,98.89999999999999,NA,NA,0.3,NA,NA,NA,GBR,58019030,495896419,0.11699828386943847
1996,United_Kingdom,0,0,0,0,0.3,98.89999999999999,NA,NA,0.3,NA,NA,NA,GBR,58166950,496794186,0.11708460291844075
1997,United_Kingdom,0,0,0,0,0.34,97.7,0,0,0.34,none,none,DUP 0.34%,GBR,58316954,497629796,0.11718943372916521
1998,United_Kingdom,0,0,0,0,0.34,97.7,NA,NA,0.34,NA,NA,NA,GBR,58487141,498422758,0.11734444316846383
1999,United_Kingdom,0,0,0,0,0.34,97.7,NA,NA,0.34,NA,NA,NA,GBR,58682466,499391700,0.11750789210153072
2000,United_Kingdom,0,0,0,0,0.34,97.7,NA,NA,0.34,NA,NA,NA,GBR,58892514,500188098,0.11774073440667915
2001,United_Kingdom,0,0,0,0,2.2,95.3,0,0,2.2,none,none,"DUP 0.7%
UKIP 1.5%",GBR,59119673,501057553,0.11798978509760136
2002,United_Kingdom,0,0,0,0,2.2,95.3,NA,NA,2.2,NA,NA,NA,GBR,59370479,502405026,0.11817254192835244
2003,United_Kingdom,0,0,0,0,2.2,95.3,NA,NA,2.2,NA,NA,NA,GBR,59647577,504353870,0.11826533025314151
2004,United_Kingdom,0,0,0,0,2.2,95.3,NA,NA,2.2,NA,NA,NA,GBR,59987905,506454762,0.1184467192353105
2005,United_Kingdom,0,2.2,0,0.3,0.9,94.30000000000001,0.3,2.2,3.4,UKIP 2.2%,R 0.3%,"DUP 0.9%
R 0.3%
UKIP 2.2%",GBR,60401206,508547485,0.11877200808494806
2006,United_Kingdom,0,2.2,0,0.3,0.9,94.30000000000001,NA,NA,3.4,NA,NA,NA,GBR,60846820,510559016,0.11917685927222955
2007,United_Kingdom,0,2.2,0,0.3,0.9,94.30000000000001,NA,NA,3.4,NA,NA,NA,GBR,61322463,512690302,0.11960917294667298
2008,United_Kingdom,0,2.2,0,0.3,0.9,94.30000000000001,NA,NA,3.4,NA,NA,NA,GBR,61806995,514811015,0.1200576390153579
2009,United_Kingdom,0,2.2,0,0.3,0.9,94.30000000000001,NA,NA,3.4,NA,NA,NA,GBR,62276270,516555899,0.12056056299146048
2010,United_Kingdom,0,3.1,0,0,0.6,94.44,0,3.1,3.7,UKIP 3.1%,none,"DUP 0.6%
UKIP 3.1%",GBR,62766365,517886877,0.121197056321626
2011,United_Kingdom,0,3.1,0,0,0.6,94.44,NA,NA,3.7,NA,NA,NA,GBR,63258810,517857388,0.12215488562268036
2012,United_Kingdom,0,3.1,0,0,0.6,94.44,NA,NA,3.7,NA,NA,NA,GBR,63711000,519116989,0.12272956067712128
2013,United_Kingdom,0,3.1,0,0,0.6,94.44,NA,NA,3.7,NA,NA,NA,GBR,64139000,520057474,0.12333059941755592
2014,United_Kingdom,0,3.1,0,0,0.6,94.44,NA,NA,3.7,NA,NA,NA,GBR,64620000,521194086,0.12398452272537874
2015,United_Kingdom,0,12.65,0,0,0.6,86.37,0,12.65,13.25,UKIP 12.65%,none,"DUP 0.6%
UKIP 12.65%",GBR,65088000,522683036,0.12452671220804648
2016,United_Kingdom,0,12.65,0,0,0.6,86.37,NA,NA,13.25,NA,NA,NA,GBR,65607000,524226948,0.1251499951505736
2017,United_Kingdom,0,1.8,0,0,0.9,96.22000000000001,0,1.8,2.7,UKIP 1.8%,none,"DUP 0.9%
UKIP 1.8%",GBR,65966000,525359268,0.12556359812805282
2018,United_Kingdom,0,1.8,0,0,0.9,96.22000000000001,NA,NA,2.7,NA,NA,NA,GBR,66289000,526797856,0.12583384545893064
2019,United_Kingdom,0,2.01,0,0,0.76,95.76,0,2.01,2.7699999999999996,BP 2.01%,none,"DUP 0.76%
BP 2.01%",GBR,66631000,527825192,0.1262368697248539
2020,United_Kingdom,0,2.01,0,0,0.76,95.76,NA,NA,2.7699999999999996,NA,NA,NA,GBR,66744000,527999064,0.12640931499833113
2021,United_Kingdom,0,2.01,0,0,0.76,95.76,NA,NA,2.7699999999999996,NA,NA,NA,GBR,66984000,527696744,0.12693654217430608
2022,United_Kingdom,0,2.01,0,0,0.76,95.76,NA,NA,2.7699999999999996,NA,NA,NA,GBR,67604000,529422891,0.1276937607898031
2023,United_Kingdom,0,2.01,0,0,0.76,95.76,NA,NA,2.7699999999999996,NA,NA,NA,GBR,68492000,532183631,0.12869993740938643
2024,United_Kingdom,0,14.315288028118665,0,0,0.597229926128124,1.86538462873499,0,14.315288028118665,14.91251795424679,"UKIP 0.022666260316966%
BP 14.2926217678017%",none,"DUP 0.597229926128124%
UKIP 0.022666260316966%
BP 14.2926217678017%",GBR,69226000,534418555,0.12953517304428175
2025,United_Kingdom,0,14.315288028118665,0,0,0.597229926128124,1.86538462873499,NA,NA,14.91251795424679,NA,NA,NA,GBR,69226000,534418555,0.12953517304428175
2026,United_Kingdom,0,14.315288028118665,0,0,0.597229926128124,1.86538462873499,NA,NA,14.91251795424679,NA,NA,NA,GBR,69226000,534418555,0.12953517304428175
